"INDEX","DATE","TYPE","LOCATION","MAX KILLED","MIN KILLED","MAX CHILDREN KILLED","MIN CHILDREN KILLED","MAX CIVILIANS KILLED","MIN CIVILIANS KILLED","MAX INJURIES","MIN INJURIES"
"YEM001","03 November 2002","Drone strike","Marib, Yemen","6","6","0","0","0","0","0","0"
"B1","17 June 2004","US drone strike","Wana, Pakistan","8","6","2","2","2","2","1","1"
"B2","08 May 2005","US drone strike","Toorikhel, Pakistan","2","2","0","0","0","0","0","0"
"B3","05 November 2005","US drone strike","Mosaki, Pakistan","8","8","3","2","8","3","1","1"
"B4","01 December 2005","US drone strike","Haisori, Pakistan","6","6","2","2","3","2","0","0"
"B5","13 January 2006","US drone strike","Damadola, Pakistan","22","13","6","5","18","10","0","0"
"B6","30 October 2006","US drone strike","Chenegai, Pakistan","83","81","70","68","82","80","3","3"
"B7","16 January 2007","US drone strike","Zamazola, Pakistan","8","8","1","1","8","8","0","0"
"B8","27 April 2007","US drone strike","Saidgai, Pakistan","4","3","0","0","4","3","9","3"
"B9","19 June 2007","US drone strike","Mami Rogha, Pakistan","34","20","0","0","34","0","15","10"
"B10","02 November 2007","US drone strike","Danda Darpakhel, Pakistan","10","5","0","0","0","0","12","6"
"B11","03 December 2007","US drone strike","Jani Khel, Pakistan","0","0","0","0","0","0","1","1"
"B12","29 January 2008","US drone strike","Mir Ali, Pakistan","15","12","3","2","6","4","2","1"
"B13","28 February 2008","US drone strike","Azam Warsak, Pakistan","13","10","0","0","0","0","16","6"
"B14","16 March 2008","US drone strike","Dhook  Pir Bagh, Pakistan","20","18","0","0","4","0","9","5"
"B15","14 May 2008","US drone strike","Damadola, Pakistan","20","12","4","1","6","4","9","9"
"B16","14 June 2008","US drone strike","Makeen, Pakistan","1","1","0","0","1","0","0","0"
"B17","28 July 2008","US drone strike","Zeralita, Pakistan","12","7","2","0","5","1","3","3"
"B18","12 August 2008","US drone strike","Bhaggar, Pakistan","25","12","0","0","5","0","4","0"
"B19","20 August 2008","US drone strike","Zari Noor, Pakistan","12","6","0","0","0","0","5","5"
"B20","27 August 2008","US drone strike","Ganki Khel, Pakistan","0","0","0","0","0","0","4","4"
"B22","30 August 2008","US drone strike","Miram Shah, Pakistan","11","6","4","1","9","2","8","2"
"B21","30 August 2008","US drone strike","Korzai, Pakistan","5","4","0","0","0","0","4","4"
"B23","02 September 2008","US drone strike","Pakistan","10","0","0","0","0","0","1","0"
"B24","04 September 2008","US drone strike","Mohammad Khel, Pakistan","7","5","0","0","0","0","4","3"
"B25","05 September 2008","US drone strike","Gurwak, Pakistan","12","5","4","3","7","5","0","0"
